n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.045;1000
10;50;0.2;0.4;0.051;1000
10;50;0.5;0;0.049;1000
10;50;0.5;0.4;0.05;1000
10;50;0.8;0;0.756;1000
10;50;0.8;0.4;0.757;1000
10;100;0.2;0;0.046;1000
10;100;0.2;0.4;0.042;1000
10;100;0.5;0;0.079;1000
10;100;0.5;0.4;0.056;1000
10;100;0.8;0;0.536;1000
10;100;0.8;0.4;0.533;1000
10;150;0.2;0;0.045;1000
10;150;0.2;0.4;0.046;1000
10;150;0.5;0;0.033;1000
10;150;0.5;0.4;0.04;1000
10;150;0.8;0;0.376;1000
10;150;0.8;0.4;0.38;1000
10;200;0.2;0;0.055;1000
10;200;0.2;0.4;0.064;1000
10;200;0.5;0;0.051;1000
10;200;0.5;0.4;0.056;1000
10;200;0.8;0;0.245;1000
10;200;0.8;0.4;0.251;1000
20;50;0.2;0;0.035;1000
20;50;0.2;0.4;0.04;1000
20;50;0.5;0;0.316;1000
20;50;0.5;0.4;0.312;1000
20;50;0.8;0;1;1000
20;50;0.8;0.4;1;1000
20;100;0.2;0;0.049;1000
20;100;0.2;0.4;0.045;1000
20;100;0.5;0;0.08;1000
20;100;0.5;0.4;0.078;1000
20;100;0.8;0;1;1000
20;100;0.8;0.4;1;1000
20;150;0.2;0;0.052;2000
20;150;0.2;0.4;0.052;1000
20;150;0.5;0;0.051;1000
20;150;0.5;0.4;0.049;1000
20;150;0.8;0;1;1000
20;150;0.8;0.4;1;1000
20;200;0.2;0;0.058;1000
20;200;0.2;0.4;0.049;1000
20;200;0.5;0;0.051;1000
20;200;0.5;0.4;0.047;1000
20;200;0.8;0;1;1000
20;200;0.8;0.4;1;1000
