n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;1;1000
10;50;0.2;0.4;1;1000
10;50;0.5;0;0.767;1000
10;50;0.5;0.4;0.775;1000
10;50;0.8;0;0.755;1000
10;50;0.8;0.4;0.755;1000
10;100;0.2;0;1;1000
10;100;0.2;0.4;1;1000
10;100;0.5;0;0.837;1000
10;100;0.5;0.4;0.857;1000
10;100;0.8;0;0.54;1000
10;100;0.8;0.4;0.54;1000
10;150;0.2;0;1;1000
10;150;0.2;0.4;1;1000
10;150;0.5;0;0.929;1000
10;150;0.5;0.4;0.944;1000
10;150;0.8;0;0.401;1000
10;150;0.8;0.4;0.398;1000
10;200;0.2;0;1;1000
10;200;0.2;0.4;1;1000
10;200;0.5;0;0.963;1000
10;200;0.5;0.4;0.964;1000
10;200;0.8;0;0.263;1000
10;200;0.8;0.4;0.264;1000
20;50;0.2;0;0.994;1000
20;50;0.2;0.4;0.995;1000
20;50;0.5;0;0.327;1000
20;50;0.5;0.4;0.327;1000
20;50;0.8;0;1;1000
20;50;0.8;0.4;1;1000
20;100;0.2;0;1;1000
20;100;0.2;0.4;1;1000
20;100;0.5;0;0.123;1000
20;100;0.5;0.4;0.123;1000
20;100;0.8;0;1;1000
20;100;0.8;0.4;1;1000
20;150;0.2;0;1;1000
20;150;0.2;0.4;1;1000
20;150;0.5;0;0.138;1000
20;150;0.5;0.4;0.138;1000
20;150;0.8;0;1;1000
20;150;0.8;0.4;1;1000
20;200;0.2;0;1;1000
20;200;0.2;0.4;1;1000
20;200;0.5;0;0.199;1000
20;200;0.5;0.4;0.199;1000
20;200;0.8;0;1;1000
20;200;0.8;0.4;1;1000
