n;p;pmiss;rho;rejPERM;n_simEnded
10;50;0.2;0;0.079;1000
10;50;0.2;0.4;0.073;1000
10;50;0.5;0;0.093;1000
10;50;0.5;0.4;0.089;1000
10;50;0.8;0;0.994;1000
10;50;0.8;0.4;0.994;1000
10;100;0.2;0;0.11;1000
10;100;0.2;0.4;0.079;1000
10;100;0.5;0;0.096;1000
10;100;0.5;0.4;0.097;1000
10;100;0.8;0;0.985;1000
10;100;0.8;0.4;0.986;1000
10;150;0.2;0;0.149;1000
10;150;0.2;0.4;0.089;1000
10;150;0.5;0;0.099;1000
10;150;0.5;0.4;0.102;1000
10;150;0.8;0;0.978;1000
10;150;0.8;0.4;0.977;1000
10;200;0.2;0;0.164;1000
10;200;0.2;0.4;0.089;1000
10;200;0.5;0;0.125;1000
10;200;0.5;0.4;0.121;1000
10;200;0.8;0;0.965;1000
10;200;0.8;0.4;0.967;1000
20;50;0.2;0;0.139;1000
20;50;0.2;0.4;0.129;1000
20;50;0.5;0;0.914;1000
20;50;0.5;0.4;0.912;1000
20;50;0.8;0;1;1000
20;50;0.8;0.4;1;1000
20;100;0.2;0;0.215;1000
20;100;0.2;0.4;0.174;1000
20;100;0.5;0;0.755;1000
20;100;0.5;0.4;0.755;1000
20;100;0.8;0;1;1000
20;100;0.8;0.4;1;1000
20;150;0.2;0;0.278;1000
20;150;0.2;0.4;0.197;1000
20;150;0.5;0;0.589;1000
20;150;0.5;0.4;0.594;1000
20;150;0.8;0;1;1000
20;150;0.8;0.4;1;1000
20;200;0.2;0;0.334;1000
20;200;0.2;0.4;0.21;1000
20;200;0.5;0;0.445;1000
20;200;0.5;0.4;0.438;1000
20;200;0.8;0;1;1000
20;200;0.8;0.4;1;1000
