n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
20;50;0.2;0;0.062;1000;49.94;49.94;5;5.01
20;50;0.2;0.4;0.056;1000;49.94;49.94;5.01;5.04
20;50;0.5;0;0.041;1000;42.79;42.79;4.98;5.12
20;50;0.5;0.4;0.045;1000;42.79;42.79;5.03;5.24
20;50;0.8;0;0.036;996;5.38;5.38;3.74;3.78
20;50;0.8;0.4;0.037;996;5.38;5.38;3.75;3.82
20;100;0.2;0;0.067;1000;99.87;99.87;5.39;5.42
20;100;0.2;0.4;0.055;1000;99.87;99.87;5.4;5.44
20;100;0.5;0;0.05;1000;84.38;84.38;5.44;5.72
20;100;0.5;0.4;0.037;1000;84.38;84.38;5.5;6.03
20;100;0.8;0;0.042;1000;9.33;9.33;4.1;4.18
20;100;0.8;0.4;0.048;1000;9.33;9.33;4.11;4.26
20;150;0.2;0;0.066;1000;149.8;149.8;5.62;5.66
20;150;0.2;0.4;0.057;1000;149.8;149.8;5.63;5.68
20;150;0.5;0;0.054;1000;124.98;124.98;5.74;6.17
20;150;0.5;0.4;0.048;1000;124.98;124.98;5.84;6.91
20;150;0.8;0;0.048;1000;12.65;12.65;4.27;4.41
20;150;0.8;0.4;0.042;1000;12.65;12.65;4.28;4.49
20;200;0.2;0;0.066;1000;199.74;199.74;5.79;5.83
20;200;0.2;0.4;0.055;1000;199.74;199.74;5.8;5.86
20;200;0.5;0;0.05;1000;165.29;165.29;5.96;6.53
20;200;0.5;0.4;0.039;1000;165.29;165.29;6.15;7.83
20;200;0.8;0;0.065;1000;15.87;15.87;4.39;4.57
20;200;0.8;0.4;0.058;1000;15.87;15.87;4.4;4.65
40;50;0.2;0;0.05;1000;50;50;5.66;5.67
40;50;0.2;0.4;0.048;1000;50;50;5.68;5.69
40;50;0.5;0;0.06;1000;49.76;49.76;5.72;5.75
40;50;0.5;0.4;0.067;1000;49.76;49.76;5.78;5.83
40;50;0.8;0;0.053;1000;16.29;16.29;5.12;5.23
40;50;0.8;0.4;0.046;1000;16.29;16.29;5.15;5.35
40;100;0.2;0;0.042;1000;100;100;6.04;6.04
40;100;0.2;0.4;0.04;1000;100;100;6.06;6.07
40;100;0.5;0;0.055;1000;99.57;99.57;6.18;6.25
40;100;0.5;0.4;0.055;1000;99.57;99.57;6.25;6.35
40;100;0.8;0;0.053;1000;26.61;26.61;5.41;5.58
40;100;0.8;0.4;0.049;1000;26.61;26.61;5.46;5.86
40;150;0.2;0;0.046;1000;150;150;6.27;6.27
40;150;0.2;0.4;0.061;1000;150;150;6.28;6.3
40;150;0.5;0;0.049;1000;149.33;149.33;6.49;6.59
40;150;0.5;0.4;0.055;1000;149.33;149.33;6.55;6.7
40;150;0.8;0;0.055;1000;35.56;35.56;5.59;5.85
40;150;0.8;0.4;0.049;1000;35.56;35.56;5.66;6.25
40;200;0.2;0;0.053;1000;200;200;6.43;6.44
40;200;0.2;0.4;0.053;1000;200;200;6.45;6.46
40;200;0.5;0;0.058;1000;199.05;199.05;6.72;6.84
40;200;0.5;0.4;0.059;1000;199.05;199.05;6.8;7
40;200;0.8;0;0.061;1000;43.18;43.18;5.71;6.07
40;200;0.8;0.4;0.047;1000;43.18;43.18;5.81;6.61
