n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
20;50;0.2;0;1;1000;49.94;49.94;5;6.24
20;50;0.2;0.4;1;1000;49.94;49.94;5.01;6.35
20;50;0.5;0;0.881;1000;42.79;42.79;4.98;14.81
20;50;0.5;0.4;0.848;1000;42.79;42.79;5.03;15.92
20;50;0.8;0;0.246;996;5.38;5.38;3.74;5.98
20;50;0.8;0.4;0.225;996;5.38;5.38;3.75;6.25
20;100;0.2;0;0.991;1000;99.87;99.87;5.39;8.2
20;100;0.2;0.4;0.992;1000;99.87;99.87;5.4;8.66
20;100;0.5;0;0.977;1000;84.38;84.38;5.44;24.16
20;100;0.5;0.4;0.946;1000;84.38;84.38;5.5;26.36
20;100;0.8;0;0.34;1000;9.33;9.33;4.1;8.61
20;100;0.8;0.4;0.308;1000;9.33;9.33;4.11;9.18
20;150;0.2;0;0.984;1000;149.8;149.8;5.62;10.85
20;150;0.2;0.4;0.982;1000;149.8;149.8;5.63;11.61
20;150;0.5;0;0.996;1000;124.98;124.98;5.74;32.34
20;150;0.5;0.4;0.976;1000;124.98;124.98;5.84;35.23
20;150;0.8;0;0.361;1000;12.65;12.65;4.27;10.72
20;150;0.8;0.4;0.329;1000;12.65;12.65;4.28;11.2
20;200;0.2;0;0.996;1000;199.74;199.74;5.79;13.82
20;200;0.2;0.4;0.998;1000;199.74;199.74;5.8;14.88
20;200;0.5;0;1;1000;165.29;165.29;5.96;40.26
20;200;0.5;0.4;0.988;1000;165.29;165.29;6.15;44.29
20;200;0.8;0;0.374;1000;15.87;15.87;4.39;12.34
20;200;0.8;0.4;0.333;1000;15.87;15.87;4.4;12.98
40;50;0.2;0;1;1000;50;50;5.66;6.24
40;50;0.2;0.4;1;1000;50;50;5.68;6.24
40;50;0.5;0;0.993;1000;49.76;49.76;5.72;10.28
40;50;0.5;0.4;0.992;1000;49.76;49.76;5.78;11.08
40;50;0.8;0;0.894;1000;16.29;16.29;5.12;13.82
40;50;0.8;0.4;0.857;1000;16.29;16.29;5.15;14.92
40;100;0.2;0;1;1000;100;100;6.04;6.99
40;100;0.2;0.4;1;1000;100;100;6.06;7.01
40;100;0.5;0;1;1000;99.57;99.57;6.18;17.01
40;100;0.5;0.4;1;1000;99.57;99.57;6.25;18.4
40;100;0.8;0;0.952;1000;26.61;26.61;5.41;18.91
40;100;0.8;0.4;0.925;1000;26.61;26.61;5.46;20.54
40;150;0.2;0;1;1000;150;150;6.27;7.61
40;150;0.2;0.4;1;1000;150;150;6.28;7.72
40;150;0.5;0;1;1000;149.33;149.33;6.49;22.83
40;150;0.5;0.4;0.999;1000;149.33;149.33;6.55;24.87
40;150;0.8;0;0.985;1000;35.56;35.56;5.59;22.55
40;150;0.8;0.4;0.965;1000;35.56;35.56;5.66;24.33
40;200;0.2;0;1;1000;200;200;6.43;8.27
40;200;0.2;0.4;1;1000;200;200;6.45;8.55
40;200;0.5;0;1;1000;199.05;199.05;6.72;28.37
40;200;0.5;0.4;1;1000;199.05;199.05;6.8;31.28
40;200;0.8;0;0.984;1000;43.18;43.18;5.71;24.99
40;200;0.8;0.4;0.967;1000;43.18;43.18;5.81;27.09
