n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
20;50;0.2;0;0.157;1000;49.54;49.54;5.01;5.04
20;50;0.2;0.4;0.129;1000;49.54;49.54;5.04;5.08
20;50;0.5;0;0.129;1000;34.27;34.27;4.85;5.01
20;50;0.5;0.4;0.115;1000;34.27;34.27;4.89;5.14
20;50;0.8;0;0;476;1.38;1.38;1.05;1.05
20;50;0.8;0.4;0;476;1.38;1.38;1.05;1.05
20;100;0.2;0;0.224;1000;99.1;99.1;5.42;5.48
20;100;0.2;0.4;0.115;1000;99.1;99.1;5.45;5.51
20;100;0.5;0;0.153;1000;66.14;66.14;5.29;5.61
20;100;0.5;0.4;0.095;1000;66.14;66.14;5.36;6
20;100;0.8;0;0.006;658;1.63;1.63;1.53;1.54
20;100;0.8;0.4;0.006;658;1.63;1.63;1.53;1.54
20;150;0.2;0;0.215;1000;148.68;148.68;5.67;5.74
20;150;0.2;0.4;0.122;1000;148.68;148.68;5.69;5.79
20;150;0.5;0;0.138;1000;96.47;96.47;5.58;6.1
20;150;0.5;0.4;0.08;1000;96.47;96.47;5.69;6.82
20;150;0.8;0;0.014;778;1.9;1.9;1.98;1.98
20;150;0.8;0.4;0.019;778;1.9;1.9;1.98;1.98
20;200;0.2;0;0.225;1000;198.23;198.23;5.85;5.93
20;200;0.2;0.4;0.088;1000;198.23;198.23;5.88;5.99
20;200;0.5;0;0.141;1000;125.47;125.47;5.79;6.55
20;200;0.5;0.4;0.067;1000;125.47;125.47;5.97;7.75
20;200;0.8;0;0.04;855;2.23;2.23;2.4;2.41
20;200;0.8;0.4;0.036;855;2.23;2.23;2.4;2.41
40;50;0.2;0;0.4;1000;50;50;5.67;5.68
40;50;0.2;0.4;0.357;1000;50;50;5.7;5.71
40;50;0.5;0;0.32;1000;48.61;48.61;5.73;5.78
40;50;0.5;0.4;0.274;1000;48.61;48.61;5.79;5.89
40;50;0.8;0;0.712;971;3.3;3.3;3.79;3.81
40;50;0.8;0.4;0.685;971;3.3;3.3;3.79;3.83
40;100;0.2;0;0.486;1000;100;100;6.06;6.07
40;100;0.2;0.4;0.37;1000;100;100;6.09;6.11
40;100;0.5;0;0.394;1000;96.66;96.66;6.22;6.34
40;100;0.5;0.4;0.237;1000;96.66;96.66;6.3;6.5
40;100;0.8;0;0.901;999;5.33;5.33;4.39;4.41
40;100;0.8;0.4;0.859;999;5.33;5.33;4.4;4.45
40;150;0.2;0;0.509;1000;150;150;6.3;6.32
40;150;0.2;0.4;0.339;1000;150;150;6.33;6.35
40;150;0.5;0;0.341;1000;144.6;144.6;6.54;6.72
40;150;0.5;0.4;0.205;1000;144.6;144.6;6.65;7.03
40;150;0.8;0;0.903;998;6.87;6.87;4.62;4.65
40;150;0.8;0.4;0.843;998;6.87;6.87;4.62;4.68
40;200;0.2;0;0.526;1000;199.99;199.99;6.48;6.5
40;200;0.2;0.4;0.248;1000;199.99;199.99;6.5;6.53
40;200;0.5;0;0.317;1000;192.25;192.25;6.81;7.04
40;200;0.5;0.4;0.134;1000;192.25;192.25;7;7.71
40;200;0.8;0;0.822;1000;8.58;8.58;4.77;4.83
40;200;0.8;0.4;0.763;1000;8.58;8.58;4.79;4.89
