n;p;pmiss;rho;rejPERM;n_simEnded;meanDim;meanDim0;meanLambda;meanLambda0
10;50;0.2;0;0.999;1000;49.93;NA;4.38;10.34
10;50;0.2;0.4;0.998;1000;49.93;NA;4.4;11.28
10;50;0.5;0;0.998;1000;37.22;NA;4.37;19.09
10;50;0.5;0.4;0.998;1000;37.22;NA;4.47;21.73
10;50;0.8;0;0.686;1000;7.99;NA;3.35;7.62
10;50;0.8;0.4;0.636;1000;7.99;NA;3.36;7.89
10;100;0.2;0;1;1000;99.82;99.82;4.78;18.56
10;100;0.2;0.4;0.999;1000;99.82;99.82;4.83;20.72
10;100;0.5;0;1;1000;69.5;69.5;4.96;31.31
10;100;0.5;0.4;1;1000;69.5;69.5;5.22;36.12
10;100;0.8;0;0.578;1000;13.61;13.61;3.66;11.06
10;100;0.8;0.4;0.558;1000;13.61;13.61;3.67;11.5
10;150;0.2;0;1;1000;149.66;149.66;5.03;26.91
10;150;0.2;0.4;1;1000;149.66;149.66;5.12;29.94
10;150;0.5;0;0.999;1000;100.75;100.75;5.49;42.12
10;150;0.5;0.4;0.999;1000;100.75;100.75;6.07;48.7
10;150;0.8;0;0.553;1000;19.09;19.09;3.87;14.46
10;150;0.8;0.4;0.537;1000;19.09;19.09;3.9;15.04
10;200;0.2;0;1;1000;199.5;199.5;5.21;35.3
10;200;0.2;0.4;1;1000;199.5;199.5;5.46;39.25
10;200;0.5;0;1;1000;130.81;130.81;6.1;53.13
10;200;0.5;0.4;0.988;997;130.8;130.8;7.07;61.79
10;200;0.8;0;0.511;1000;24.26;24.26;4.02;17.14
10;200;0.8;0.4;0.477;1000;24.26;24.26;4.06;18.06
20;50;0.2;0;0.999;1000;50;NA;5.01;6.99
20;50;0.2;0.4;0.999;1000;50;NA;5.03;7.17
20;50;0.5;0;0.999;1000;47.9;NA;5.17;18.11
20;50;0.5;0.4;0.999;1000;47.9;NA;5.27;20.75
20;50;0.8;0;0.975;1000;13.38;NA;4.39;12.83
20;50;0.8;0.4;0.971;1000;13.38;NA;4.44;13.73
20;100;0.2;0;1;1000;100;100;5.41;9.83
20;100;0.2;0.4;1;1000;100;100;5.43;10.66
20;100;0.5;0;1;1000;93.54;93.54;5.75;29.97
20;100;0.5;0.4;1;1000;93.54;93.54;5.98;34.64
20;100;0.8;0;0.976;1000;21.47;21.47;4.7;17.65
20;100;0.8;0.4;0.978;1000;21.47;21.47;4.78;19.05
20;150;0.2;0;1;1000;150;150;5.65;13.89
20;150;0.2;0.4;1;1000;150;150;5.67;15.22
20;150;0.5;0;1;1000;137.87;137.87;6.13;41.02
20;150;0.5;0.4;1;1000;137.87;137.87;6.74;47.27
20;150;0.8;0;0.987;1000;27.68;27.68;4.92;20.76
20;150;0.8;0.4;0.991;1000;27.68;27.68;5.03;22.34
20;200;0.2;0;1;1000;200;200;5.82;18.07
20;200;0.2;0.4;1;1000;200;200;5.84;19.75
20;200;0.5;0;1;1000;181.67;181.67;6.5;52.18
20;200;0.5;0.4;1;1000;181.67;181.67;7.63;60.01
20;200;0.8;0;0.977;1000;33.91;33.91;5.12;23.91
20;200;0.8;0.4;0.985;1000;33.91;33.91;5.23;25.85
